Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
64798	4.43532e-12	-7.34866	209	1	HSC	up	DEPTOR
64866	9.61271e-28	-12.6933	209	1	HSC	up	CDCP1
65084	1.85199e-06	-4.9078	209	1	HSC	up	TMEM135
6518	9.37064e-09	-5.98342	209	1	HSC	up	SLC2A5
65244	2.78101e-08	-5.77348	209	1	HSC	up	SPATS2
65250	3.03738e-12	-7.41221	209	1	HSC	up	CPLANE1
654434	1.71304e-06	-4.92485	209	1	HSC	up	SNHG20
6594	1.01995e-15	-8.69584	209	1	HSC	up	SMARCA1
6595	4.22695e-06	-4.7247	209	1	HSC	up	SMARCA2
6599	8.44016e-08	-5.55379	209	1	HSC	up	SMARCC1
65998	1.91255e-08	-5.8463	209	1	HSC	up	C11orf95
661	1.8678e-11	-7.10445	209	1	HSC	up	POLR3D
6624	5.1755e-09	-6.09596	209	1	HSC	up	FSCN1
6632	2.19893e-08	-5.81923	209	1	HSC	up	SNRPD1
6636	5.21649e-06	-4.6772	209	1	HSC	up	SNRPF
6659	1.2107e-11	-7.17859	209	1	HSC	up	SOX4
6666	2.20545e-07	-5.35879	209	1	HSC	up	SOX12
667	1.75375e-13	-7.88184	209	1	HSC	up	DST
6691	3.82334e-24	-11.5359	209	1	HSC	up	SPINK2
6696	1.09004e-19	-10.0671	209	1	HSC	up	SPP1
6713	6.59063e-12	-7.28185	209	1	HSC	up	SQLE
6717	3.13346e-07	-5.28625	209	1	HSC	up	SRI
6769	1.63449e-16	-8.977	209	1	HSC	up	STAC
6776	1.42003e-07	-5.44877	209	1	HSC	up	STAT5A
6809	4.17603e-09	-6.1363	209	1	HSC	up	STX3
6821	5.04625e-09	-6.10072	209	1	HSC	up	SUOX
684	3.07536e-25	-11.8898	209	1	HSC	up	BST2
6856	1.83598e-07	-5.39639	209	1	HSC	up	SYPL1
6894	1.16755e-08	-5.94138	209	1	HSC	up	TARBP1
6897	4.63047e-07	-5.20475	209	1	HSC	up	TARS
6934	1.02973e-07	-5.51381	209	1	HSC	up	TCF7L2
6938	6.65979e-08	-5.60116	209	1	HSC	up	TCF12
7010	3.78882e-15	-8.49184	209	1	HSC	up	TEK
7035	1.34835e-17	-9.35431	209	1	HSC	up	TFPI
7075	1.20396e-23	-11.3741	209	1	HSC	up	TIE1
708	3.12205e-06	-4.79252	209	1	HSC	up	C1QBP
710	2.59755e-25	-11.9135	209	1	HSC	up	SERPING1
7132	3.07514e-07	-5.29014	209	1	HSC	up	TNFRSF1A
7158	1.10798e-08	-5.95141	209	1	HSC	up	TP53BP1
7164	3.21536e-15	-8.51747	209	1	HSC	up	TPD52L1
7205	3.94675e-20	-10.2152	209	1	HSC	up	TRIP6
723790	5.73531e-12	-7.30534	209	1	HSC	up	HIST2H2AA4
727852	2.402e-16	-8.9182	209	1	HSC	up	NA
728225	8.36146e-07	-5.07967	209	1	HSC	up	NA
