Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
27069	6.75127e-28	-12.7423	209	1	l-ERY	up	GHITM
25874	8.38581e-28	-12.7122	209	1	l-ERY	up	MPC2
8501	1.09779e-27	-12.6749	209	1	l-ERY	up	SLC43A1
10490	1.10854e-27	-12.6735	209	1	l-ERY	up	VTI1B
4259	1.31576e-27	-12.6498	209	1	l-ERY	up	MGST3
2730	1.39496e-27	-12.6416	209	1	l-ERY	up	GCLM
64114	1.78597e-27	-12.6074	209	1	l-ERY	up	TMBIM1
64743	2.20218e-27	-12.5783	209	1	l-ERY	up	WDR13
4288	2.90695e-27	-12.5397	209	1	l-ERY	up	MKI67
23327	3.11101e-27	-12.5303	209	1	l-ERY	up	NEDD4L
10955	3.80681e-27	-12.5023	209	1	l-ERY	up	SERINC3
847	4.21061e-27	-12.4883	209	1	l-ERY	up	CAT
999	4.92093e-27	-12.4666	209	1	l-ERY	up	CDH1
7709	5.2376e-27	-12.4579	209	1	l-ERY	up	ZBTB17
6782	6.06159e-27	-12.4376	209	1	l-ERY	up	HSPA13
55249	6.38721e-27	-12.4303	209	1	l-ERY	up	YY1AP1
1069	7.34296e-27	-12.4109	209	1	l-ERY	up	CETN2
6780	7.5203e-27	-12.4076	209	1	l-ERY	up	STAU1
23198	7.5355e-27	-12.4073	209	1	l-ERY	up	PSME4
50807	8.22133e-27	-12.3952	209	1	l-ERY	up	ASAP1
27238	8.81887e-27	-12.3855	209	1	l-ERY	up	GPKOW
899	1.05032e-26	-12.3611	209	1	l-ERY	up	CCNF
10383	1.12442e-26	-12.3517	209	1	l-ERY	up	TUBB4B
22794	1.44811e-26	-12.3164	209	1	l-ERY	up	CASC3
378	1.69868e-26	-12.2942	209	1	l-ERY	up	ARF4
51164	1.95693e-26	-12.2745	209	1	l-ERY	up	DCTN4
55652	2.2141e-26	-12.2573	209	1	l-ERY	up	SLC48A1
10370	2.74064e-26	-12.2276	209	1	l-ERY	up	CITED2
11004	3.2435e-26	-12.2041	209	1	l-ERY	up	KIF2C
10893	3.89214e-26	-12.1787	209	1	l-ERY	up	MMP24
22934	4.62982e-26	-12.1545	209	1	l-ERY	up	RPIA
6256	5.03592e-26	-12.1427	209	1	l-ERY	up	RXRA
56675	5.45398e-26	-12.1316	209	1	l-ERY	up	NRIP3
7353	7.68717e-26	-12.0837	209	1	l-ERY	up	UFD1
8945	8.38189e-26	-12.0716	209	1	l-ERY	up	BTRC
55062	8.50087e-26	-12.0697	209	1	l-ERY	up	WIPI1
26005	8.96029e-26	-12.0623	209	1	l-ERY	up	C2CD3
7168	1.11037e-25	-12.0323	209	1	l-ERY	up	TPM1
55831	1.24181e-25	-12.0167	209	1	l-ERY	up	EMC3
123803	1.44057e-25	-11.9959	209	1	l-ERY	up	NTAN1
8531	1.4407e-25	-11.9959	209	1	l-ERY	up	YBX3
6048	1.51082e-25	-11.9893	209	1	l-ERY	up	RNF5
7351	1.97675e-25	-11.9517	209	1	l-ERY	up	UCP2
2017	2.13739e-25	-11.9408	209	1	l-ERY	up	CTTN
25950	2.19782e-25	-11.9369	209	1	l-ERY	up	RWDD3
25844	2.34261e-25	-11.9279	209	1	l-ERY	up	YIPF3
4601	2.5168e-25	-11.9179	209	1	l-ERY	up	MXI1
6886	2.83795e-25	-11.9011	209	1	l-ERY	up	TAL1
23204	2.86824e-25	-11.8996	209	1	l-ERY	up	ARL6IP1
57192	3.54828e-25	-11.8698	209	1	l-ERY	up	MCOLN1
3958	3.76148e-25	-11.8616	209	1	l-ERY	up	LGALS3
10294	4.24312e-25	-11.8448	209	1	l-ERY	up	DNAJA2
